x,y
-0.0,-0.0
100.6728,0.645
142.3289,0.9931
143.5748,1.1505
144.7912,1.4628
145.9588,1.9251
147.0593,2.5301
148.0753,3.2682
148.9907,4.1279
149.7912,5.0955
150.4641,6.1558
150.9988,7.2921
151.3869,8.4864
151.6222,9.72
151.701,10.9733
152.3173,74.4823
152.082,75.7158
151.6939,76.9102
151.1592,78.0465
150.4863,79.1068
149.6859,80.0744
148.7704,80.9341
147.7544,81.6722
146.654,82.2772
145.4863,82.7395
144.27,83.0518
143.0241,83.2092
101.3518,82.9171
100.1059,82.7597
98.8896,82.4474
97.722,81.9851
96.6215,81.3801
95.6055,80.642
94.6901,79.7823
93.8896,78.8147
93.2167,77.7543
92.682,76.6181
92.2939,75.4237
92.0586,74.1902
91.9797,72.9368
91.9869,71.7274
91.9081,70.474
91.6727,69.2405
91.2847,68.0461
90.75,66.9099
90.0771,65.8495
89.2766,64.8819
88.3611,64.0222
87.3452,63.2841
86.2447,62.6791
85.0771,62.2168
83.8607,61.9045
82.6148,61.7471
68.9254,61.4061
67.6795,61.2487
66.4631,60.9364
65.2955,60.4741
64.195,59.8691
63.179,59.1309
62.2636,58.2713
61.4631,57.3037
60.7902,56.2433
60.2555,55.1071
59.8675,53.9127
59.6321,52.6791
59.5533,51.4258
59.6906,31.1476
59.7694,29.8943
60.0047,28.6607
60.3928,27.4663
60.9275,26.33
61.6004,25.2697
62.4009,24.3021
63.3163,23.4425
64.3323,22.7043
65.4328,22.0993
66.6004,21.637
67.8168,21.3247
141.5468,21.1969
142.7927,21.3543
144.0091,21.6666
145.1767,22.1289
146.2772,22.7339
147.2932,23.472
148.2086,24.3317
149.0091,25.2993
149.682,26.3596
150.2167,27.4959
150.6048,28.6902
150.8401,29.9238
150.9189,31.1771
150.8835,32.5105
150.6482,33.7441
150.2601,34.9384
149.7254,36.0747
149.0525,37.1351
148.252,38.1027
147.3366,38.9623
146.3206,39.7005
145.2201,40.3055
144.0525,40.7678
142.8362,41.0801
141.5902,41.2375
67.3129,41.0551
66.0966,41.3674
64.9289,41.8297
63.8285,42.4347
62.8125,43.1728
61.8971,44.0325
61.0966,45.0001
60.4237,46.0604
59.889,47.1967
59.5009,48.391
59.2656,49.6246
59.1867,50.8779
59.0477,169.7546
59.1266,171.008
59.3619,172.2415
59.7499,173.4359
60.2846,174.5722
60.9575,175.6325
61.758,176.6001
62.6735,177.4598
63.6894,178.1979
64.7899,178.8029
65.9575,179.2652
67.1739,179.5775
68.4198,179.7349
80.0469,179.4695
81.2928,179.3121
82.5092,178.9998
83.6768,178.5375
84.7773,177.9325
85.7932,177.1944
86.7087,176.3347
87.5092,175.3671
88.1821,174.3068
88.7168,173.1705
89.1048,171.9762
89.3401,170.7426
89.4045,168.9813
89.4834,167.728
89.7187,166.4944
90.1068,165.3001
90.6415,164.1638
91.3144,163.1035
92.1148,162.1359
93.0303,161.2762
94.0463,160.5381
95.1467,159.9331
96.3144,159.4708
97.5307,159.1585
137.734,158.8414
138.9799,158.9988
140.1963,159.3111
141.3639,159.7734
142.4644,160.3784
143.4803,161.1166
144.3958,161.9762
145.1963,162.9438
145.8692,164.0042
146.4039,165.1405
146.7919,166.3348
147.0273,167.5684
147.1061,168.8217
145.9015,212.5971
145.6662,213.8306
145.2782,215.025
144.7435,216.1613
144.0706,217.2216
143.2701,218.1892
142.3546,219.0489
141.3387,219.787
140.2382,220.392
139.0706,220.8543
137.8542,221.1666
136.6083,221.324
68.4132,221.2873
67.1673,221.1299
65.9509,220.8176
64.7833,220.3553
63.6828,219.7503
62.6669,219.0122
61.7514,218.1525
60.9509,217.1849
60.278,216.1246
59.7433,214.9883
59.3553,213.7939
59.12,212.5604
59.0411,211.307
59.3009,190.033
59.3797,188.7796
59.615,187.5461
60.0031,186.3517
60.5378,185.2154
61.2107,184.1551
62.0112,183.1875
62.9266,182.3279
